index,polygon_id,cluster_id,distance_from_starting_point,latitude,longitude,elevation_from_dsm
0,0,0,23.3382576682379,-26.216487570267773,23.3382576682379,110.5901870727539
1,0,0,23.338148158711427,-26.21660101845601,23.338148158711427,131.94964599609375
2,0,0,23.338688075371845,-26.216346998935347,23.338688075371845,115.42109680175781
3,0,0,23.33839996927641,-26.216575256735375,23.33839996927641,103.52079772949219
4,0,0,23.33832870236674,-26.216668284514224,23.33832870236674,119.7818603515625
5,0,0,23.338364948899475,-26.216695529167723,23.338364948899475,125.20220184326172
6,0,0,23.33862714035326,-26.216584495266254,23.33862714035326,105.43323516845703
7,0,0,23.33865702642965,-26.216588662204092,23.33865702642965,108.10442352294922
8,0,0,23.33833489669306,-26.216772821805886,23.33833489669306,118.99911499023438
9,0,0,23.338806375026135,-26.216511474003735,23.338806375026135,118.72496032714844
10,0,0,23.338166595500265,-26.216818553787196,23.338166595500265,131.40836334228516
11,0,0,23.338525255821306,-26.21672734072815,23.338525255821306,116.0575180053711
12,0,0,23.33878655539773,-26.21655753732852,23.33878655539773,123.54737091064453
13,0,0,23.338776240489416,-26.21658129412564,23.338776240489416,131.16648864746094
14,0,0,23.33847251754431,-26.216778048935417,23.33847251754431,114.45433044433594
15,0,0,23.33878029830684,-26.216605219284137,23.33878029830684,131.4420394897461
16,0,0,23.33892542532452,-26.216465242562805,23.33892542532452,125.34107971191406
17,0,0,23.338475749753552,-26.216827977972454,23.338475749753552,122.13689422607422
18,0,0,23.33904249150301,-26.216361215576246,23.33904249150301,122.3741455078125
19,0,0,23.338470630643833,-26.216846679038042,23.338470630643833,115.606201171875
20,0,0,23.338870618451324,-26.216598819280957,23.338870618451324,107.9220962524414
21,0,0,23.338147945434546,-26.216924327744668,23.338147945434546,117.16703796386719
22,0,0,23.33834772289503,-26.216919730975313,23.33834772289503,122.14314270019531
23,0,0,23.338531584308306,-26.21687646964546,23.338531584308306,117.65078735351562
24,0,0,23.338946007118658,-26.21662568937531,23.338946007118658,112.65336608886719
25,0,0,23.338551643361054,-26.216902180369388,23.338551643361054,115.3736343383789
26,0,0,23.338693309868578,-26.216856265098112,23.338693309868578,128.81441497802734
27,0,0,23.338564976321468,-26.216952605305863,23.338564976321468,-32757.0
28,0,0,23.338929660018287,-26.216729931394646,23.338929660018287,118.7411117553711
29,0,0,23.338865746141654,-26.21679853157476,23.338865746141654,124.59185791015625
30,0,0,23.338836689162004,-26.216827609290938,23.338836689162004,128.9582290649414
31,0,0,23.338875991800805,-26.21681878757791,23.338875991800805,124.68219757080078
32,0,0,23.33904255531976,-26.21668290799312,23.33904255531976,121.92729949951172
33,0,0,23.338968463939576,-26.216762616915776,23.338968463939576,124.69718170166016
34,0,0,23.33928206551927,-26.21637912404908,23.33928206551927,132.48785400390625
35,0,0,23.339025733682274,-26.216775916836216,23.339025733682274,121.1775894165039
36,0,0,23.33898356671515,-26.21681550632352,23.33898356671515,131.633056640625
37,0,0,23.339121903320105,-26.216682624453217,23.339121903320105,115.48638916015625
38,0,0,23.338789053818378,-26.21695639920477,23.338789053818378,-32757.0
39,0,0,23.339157653990743,-26.216672018530495,23.339157653990743,131.3155288696289
40,0,0,23.339342838711154,-26.21653995484846,23.339342838711154,112.83853912353516
41,0,0,23.339258904005945,-26.21666836327489,23.339258904005945,123.43618774414062
42,0,0,23.339111141684114,-26.21686088746903,23.339111141684114,119.89266204833984
43,0,0,23.339279447567563,-26.21670743704601,23.339279447567563,126.33147430419922
44,0,0,23.33941986796689,-26.216496900204657,23.33941986796689,113.34867095947266
45,0,0,23.33931797012721,-26.21667017578366,23.33931797012721,123.82022857666016
46,0,0,23.339197057270727,-26.216847582043954,23.339197057270727,128.61529541015625
47,0,0,23.339365306112658,-26.216695714865775,23.339365306112658,124.5823745727539
48,0,0,23.339444165794593,-26.21659613529054,23.339444165794593,127.92882537841797
49,0,0,23.339574702060407,-26.21634319725876,23.339574702060407,-32757.0
50,0,0,23.339462908146892,-26.216611670164347,23.339462908146892,123.50726318359375
51,0,0,23.339361054598932,-26.216778321484213,23.339361054598932,124.56764221191406
52,0,0,23.339481118757696,-26.216613105349936,23.339481118757696,125.72830963134766
53,0,0,23.339550045388375,-26.216532710271604,23.339550045388375,107.1745376586914
54,0,0,23.33959878394369,-26.216539812946237,23.33959878394369,128.87134552001953
55,0,0,23.33964581258192,-26.21650378166399,23.33964581258192,126.4920654296875
56,0,0,23.33963918230878,-26.21657263124435,23.33963918230878,125.33808135986328
57,0,0,23.339562735034516,-26.216711186095534,23.339562735034516,125.84435272216797
58,0,0,23.3394444318984,-26.216901371553373,23.3394444318984,114.70540618896484
59,0,0,23.339429252986275,-26.216937998579734,23.339429252986275,110.59037780761719
60,0,0,23.33946714209991,-26.21691420307864,23.33946714209991,130.6418228149414
61,0,0,23.339528441654853,-26.216867046235357,23.339528441654853,129.36603546142578
62,0,0,23.339775828775046,-26.21648595390131,23.339775828775046,127.41813659667969
63,0,0,23.339611373024905,-26.216837587140425,23.339611373024905,131.2270736694336
64,0,0,23.339839362412537,-26.216477796692406,23.339839362412537,133.09973907470703
65,0,0,23.33961680734193,-26.21687407048917,23.33961680734193,124.17687225341797
66,0,0,23.339687591783985,-26.216783665042733,23.339687591783985,125.44998931884766
67,0,0,23.339642111993943,-26.216856580919053,23.339642111993943,126.25398254394531
68,0,0,23.339595687915466,-26.2169205868095,23.339595687915466,125.74467468261719
69,0,0,23.33980226764228,-26.216624755735104,23.33980226764228,125.5709228515625
